rater,Condition#1,Condition#2,Condition#3,Condition#4,Condition#5,Item#1,Item#10,Item#11,Item#12,Item#13,Item#14,Item#15,Item#16,Item#17,Item#18,Item#19,Item#2,Item#20,Item#21,Item#22,Item#23,Item#24,Item#25,Item#26,Item#27,Item#28,Item#29,Item#3,Item#30,Item#4,Item#5,Item#6,Item#7,Item#8,Item#9,papers,dois,dois_clean,title
1,yes,no,yes,yes,no,no,yes,yes,yes,no,no,yes,no,n/a,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,n/a,Ahrari et al. (2021),doi.org/10.3390/biomedicines9121924,10.3390/biomedicines9121924,Relevance of dynamic 18F-DOPA PET radiomics for differentiation of high-grade glioma progression from treatment-related changes
1,yes,no,yes,yes,yes,no,no,yes,no,yes,no,yes,no,no,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,n/a,Akbari et al. (2020),doi.org/10.1002/cncr.32790,10.1002/cncr.32790,Histopathology-validated machine learning radiographic biomarker for noninvasive discrimination between true progression and pseudo-progression in glioblastoma
1,no,no,no,no,yes,no,n/a,yes,n/a,no,n/a,n/a,n/a,no,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,no,no,n/a,n/a,Bacchi et al. (2019),doi.org/10.1016/j.jocn.2019.10.003,10.1016/j.jocn.2019.10.003,Deep learning in the detection of high-grade glioma recurrence using multiple MRI sequences: a pilot study
1,yes,no,yes,yes,no,no,yes,no,yes,no,no,yes,no,n/a,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,yes,no,no,yes,yes,no,yes,n/a,Bani-Sadr et al. (2019),doi.org/10.1093/noajnl/vdz019,10.1093/noajnl/vdz019,Conventional MRI radiomics in patients with suspected early- or pseudo-progression
1,yes,no,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,n/a,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,no,no,yes,yes,yes,yes,n/a,Chen et al. (2015),doi.org/10.1016/j.clinimag.2015.04.003,10.1016/j.clinimag.2015.04.003,Differentiation of true-progression from pseudoprogression in glioblastoma treated with radiation therapy and concomitant temozolomide by GLCM texture analysis of conventional MRI
1,yes,no,yes,yes,no,no,no,yes,no,no,no,yes,no,n/a,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,n/a,Elshafeey et al. (2019),doi.org/10.1038/s41467-019-11007-0,10.1038/s41467-019-11007-0,Multicenter study demonstrates radiomic features derived from magnetic resonance perfusion images identify pseudoprogression in glioblastoma
1,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,no,n/a,yes,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,yes,yes,yes,no,yes,n/a,Gao and Wang et al. (2020),doi.org/10.2147/CMAR.S244262,10.2147/CMAR.S244262,Differentiation of treatment-related effects from glioma recurrence using machine learning classifiers based upon pre-and post-contrast T1WI and T2 FLAIR subtraction features: a two-center study
1,no,no,no,no,yes,no,n/a,yes,n/a,yes,n/a,n/a,n/a,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,yes,no,no,yes,yes,no,n/a,n/a,Gao and Xiao et al. (2020),doi.org/10.2196/19805,10.2196/19805,Deep learning methodology for differentiating glioma recurrence from radiation necrosis using multimodal magnetic resonance imaging: algorithm development and validation
1,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,yes,yes,n/a,Hagiwara et al. (2022),doi.org/10.1007/s11060-022-04088-3,10.1007/s11060-022-04088-3,"Incidence, molecular characteristics, and imaging features of ""clinically-defined pseudoprogression"" in newly diagnosed glioblastoma treated with chemoradiation"
1,no,no,no,no,yes,no,n/a,yes,n/a,yes,n/a,n/a,n/a,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,n/a,n/a,Jang et al. (2018),doi.org/10.1038/s41598-018-31007-2,10.1038/s41598-018-31007-2,Prediction of pseudoprogression versus progression using machine learning algorithm in glioblastoma
1,no,no,no,no,yes,no,n/a,no,n/a,no,n/a,n/a,n/a,no,no,no,yes,no,no,yes,yes,no,no,no,yes,no,no,yes,no,yes,yes,no,no,n/a,n/a,Jang et al. (2020),doi.org/10.3390/cancers12092706,10.3390/cancers12092706,Machine learning model to predict pseudoprogression versus progression in glioblastoma using MRI: a multi-institutional study (KROG 18-07)
1,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,no,n/a,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,yes,yes,yes,yes,n/a,Kebir et al. (2017),doi.org/10.18632/oncotarget.14166,10.18632/oncotarget.14166,Unsupervised consensus cluster analysis of [18F]-fluoroethyl-L-tyrosine positron emission tomography identified textural features for the diagnosis of pseudoprogression in high-grade glioma
1,yes,no,yes,yes,no,no,no,no,no,yes,no,yes,no,n/a,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,n/a,Kim et al. (2019),doi.org/10.1093/neuonc/noy133,10.1093/neuonc/noy133,Incorporating diffusion- and perfusion-weighted MRI into a radiomics model improves diagnostic performance for pseudoprogression in glioblastoma patients
1,no,no,no,no,yes,no,n/a,yes,n/a,yes,n/a,n/a,n/a,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,yes,n/a,n/a,Lee et al. (2020),doi.org/10.1038/s41598-020-77389-0,10.1038/s41598-020-77389-0,Discriminating pseudoprogression and true progression in diffuse infiltrating glioma using multi-parametric MRI data through deep learning
1,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,yes,no,no,yes,yes,yes,yes,no,Leone et al. (2023),doi.org/10.1093/noajnl/vdad016,10.1093/noajnl/vdad016,"Assessing the added value of apparent diffusion coefficient, cerebral blood volume, and radiomic magnetic resonance features for differentiation of pseudoprogression versus true tumor progression in patients with glioblastoma"
1,no,no,no,yes,yes,no,n/a,no,n/a,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,n/a,n/a,Li et al. (2020),doi.org/10.1002/mp.14003,10.1002/mp.14003,DC-AL GAN: pseudoprogression and true tumor progression of glioblastoma multiform image classification based on DCGAN and AlexNet
1,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,n/a,yes,no,yes,yes,no,no,yes,yes,no,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,Lohmann et al. (2020),doi.org/10.3390/cancers12123835,10.3390/cancers12123835,FET PET radiomics for differentiating pseudoprogression from early tumor progression in glioma patients post-chemoradiation
1,yes,no,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,n/a,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,yes,yes,no,yes,yes,n/a,McKenney et al. (2023),doi.org/10.1016/j.adro.2022.100916,10.1016/j.adro.2022.100916,Radiomic analysis to predict histopathologically confirmed pseudoprogression in glioblastoma patients
1,yes,no,no,no,yes,no,no,yes,n/a,no,n/a,n/a,n/a,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,n/a,Moassefi et al. (2022),doi.org/10.1007/s11060-022-04080-x,10.1007/s11060-022-04080-x,A deep learning model for discriminating true progression from pseudoprogression in glioblastoma patients
1,yes,no,yes,yes,no,no,no,yes,yes,yes,no,yes,no,n/a,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,no,no,yes,no,yes,yes,yes,no,yes,n/a,Park et al. (2021),doi.org/10.1038/s41598-021-82467-y,10.1038/s41598-021-82467-y,Differentiation of recurrent glioblastoma from radiation necrosis using diffusion radiomics with machine learning model development and external validation
1,yes,no,yes,yes,no,no,no,yes,yes,yes,no,yes,no,n/a,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,yes,yes,n/a,Patel et al. (2021) ,doi.org/10.1016/j.crad.2021.03.019,10.1016/j.crad.2021.03.019,Machine learning-based radiomic evaluation of treatment response prediction in glioblastoma
1,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,n/a,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,yes,no,no,yes,yes,yes,yes,n/a,Siakallis et al. (2021) ,doi.org/10.1007/s00234-021-02719-6,10.1007/s00234-021-02719-6,Longitudinal structural and perfusion MRI enhanced by machine learning outperforms standalone modalities and radiological expertise in high-grade glioma surveillance
1,yes,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,n/a,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,yes,no,no,yes,yes,no,yes,n/a,Sun et al. (2021),doi.org/10.1186/s12880-020-00545-5,10.1186/s12880-020-00545-5,Differentiation of pseudoprogression from true progression in glioblastoma patients after standard treatment: a machine learning strategy combined with radiomics features from T1-weighted contrast-enhanced imaging
1,yes,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,n/a,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,no,no,yes,n/a,Wang et al. (2020),doi.org/10.1007/s00259-019-04604-0,10.1007/s00259-019-04604-0,Individualized discrimination of tumor recurrence from radiation necrosis in glioma patients using an integrated radiomics-based model
1,yes,no,yes,yes,no,no,no,yes,no,yes,no,yes,no,n/a,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,yes,no,yes,yes,yes,yes,n/a,Zhang and Cao et al. (2019),doi.org/10.1155/2019/2893043,10.1155/2019/2893043,Differentiation of recurrence from radiation necrosis in gliomas based on the radiomics of combinational features and multimodality MRI images
1,yes,no,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,n/a,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,n/a,Zhang and Wu et al. (2022),doi.org/10.1007/s00330-022-09365-3,10.1007/s00330-022-09365-3,Diffusion-weighted imaging and arterial spin labeling radiomics features may improve differentiation between radiation-induced brain injury and glioma recurrence
1,no,no,no,yes,no,no,n/a,yes,n/a,yes,no,yes,no,n/a,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,n/a,n/a,Zhang et al. (2016) ,doi.org/10.1016/j.compbiomed.2016.03.027,10.1016/j.compbiomed.2016.03.027,Pseudo progression identification of glioblastoma with dictionary learning
2,yes,no,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,n/a,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,no,yes,no,yes,yes,yes,n/a,Ahrari et al. (2021),doi.org/10.3390/biomedicines9121924,10.3390/biomedicines9121924,Relevance of dynamic 18F-DOPA PET radiomics for differentiation of high-grade glioma progression from treatment-related changes
2,yes,no,yes,yes,no,no,no,no,yes,yes,no,yes,yes,n/a,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,n/a,Akbari et al. (2020),doi.org/10.1002/cncr.32790,10.1002/cncr.32790,Histopathology-validated machine learning radiographic biomarker for noninvasive discrimination between true progression and pseudo-progression in glioblastoma
2,no,no,no,no,yes,no,n/a,no,n/a,yes,n/a,n/a,n/a,no,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,no,yes,n/a,n/a,Bacchi et al. (2019),doi.org/10.1016/j.jocn.2019.10.003,10.1016/j.jocn.2019.10.003,Deep learning in the detection of high-grade glioma recurrence using multiple MRI sequences: a pilot study
2,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,n/a,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,n/a,Bani-Sadr et al. (2019),doi.org/10.1093/noajnl/vdz019,10.1093/noajnl/vdz019,Conventional MRI radiomics in patients with suspected early- or pseudo-progression
2,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,n/a,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,yes,yes,yes,yes,n/a,Chen et al. (2015),doi.org/10.1016/j.clinimag.2015.04.003,10.1016/j.clinimag.2015.04.003,Differentiation of true-progression from pseudoprogression in glioblastoma treated with radiation therapy and concomitant temozolomide by GLCM texture analysis of conventional MRI
2,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes,yes,n/a,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,n/a,Elshafeey et al. (2019),doi.org/10.1038/s41467-019-11007-0,10.1038/s41467-019-11007-0,Multicenter study demonstrates radiomic features derived from magnetic resonance perfusion images identify pseudoprogression in glioblastoma
